id;tag;frCA;frFR;enUS;AR;JAP;CHN;RU;ESP
theOrbsQuests;t;La quete des 7 orbs primordiaux;;;;;;;
theOrbsQuests;td;Mon chat toucher par un  <S1>orbs primauxdiaux <S> ces transformer a ces etrange creature. Je dois abosulment l'aider a recuperer les orbs disiper dans la galaxi.;;;;;;;
theOrbsQuests;q;Je dois recuper 7 orbs primaudiaux disper a travers les galaxi.;;;;;;;
AncienPortalAnubis;t;Les Anciens portail d'Anubis.;;;;;;;
AncienPortalAnubis;td;J'ai rien compris a ce charabia, mais il semblerai que je doivent activer les ancien portail fabriquer un de nos ancien prete Anubis. Ces portail remfermerai une thecnologie pour voyager a travers les mondes !?;;;;;;;
AncienPortalAnubis;q;Je dois recuper les materieux nessesaire pour fabriquer ce petit moteur mysterieux que mon chat ma parler!;;;;;;;
AncienPortalAnubis;q;Je ne suis pas ingenieur, mais je dois fabriquer ce petit moteur avec les piece recuper. ;;;;;;;
AncienPortalAnubis;q;Il me faut mintenant installer ce petit moteur a l'interieux d'un de ces mysterieux portail. Mais ou est ce mysterieux portail déjà?;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
